id;NomSujet;minSize;maxSize;cardMin;cardMax
1;Poker;5;15;0;2
2;Android Remote Admin;5;15;0;2
3;Space landing;5;15;0;2
4;Ruzzle;5;15;0;2
5;Circulation;5;15;0;2
6;Baby sitting;5;15;0;2
7;Expressions algébriques;5;15;0;2
8;Labyrinthes;5;15;0;2
9;Bataille;5;15;0;2
10;Souris de bibliothèque;5;15;0;2
11;Gestion des notes et élèves;5;15;0;2
12;Fourmi dessinatrice;5;15;0;2
13;Design;5;15;0;2
14;Plan de déchargement;5;15;0;2
15;Blocs;5;15;0;2
